term,idf
moving,3.96
neighbourhood,1.34
bicycle,3.26
today,2.17
home,0.51
throughout,3.26
city,0.65
specialty,3.11
pleasing,3.96
palate,3.26
eye,1.56
watch,2.35
pratamaker,5.06
slapping,5.06
swinging,5.06
skilful,5.06
motion,5.06
bellyfilling,5.06
crispy,2.66
outside,3.67
soft,3.26
inside,3.45
certainly,2.17
prata,2.98
fork,5.06
true,2.75
blue,2.35
tend,3.45
eschew,5.06
cutlery,3.96
finger,3.45
shy,3.96
try,1.88
roti,2.98
hit,2.66
time,1.11
southindian,5.06
flat,3.11
bread,2.86
frying,4.36
stretched,5.06
ghee,5.06
clarified,5.06
butter,2.42
usually,2.98
served,1.92
fish,1.59
mutton,3.11
curry,1.92
paratha,5.06
hindi,5.06
believe,3.96
evolved,3.11
pancake,3.26
punjab,5.06
india,1.97
causeway,3.96
malaysia,2.98
called,3.26
canai,5.06
say,3.11
nod,3.67
chennai,5.06
matter,2.86
satisfying,3.11
meal,1.56
hour,0.93
classic,1.69
plain,3.96
egg,1.92
filling,2.98
feature,1.32
variety,1.39
modern,1.34
cheese,2.75
chocolate,2.42
icecream,5.06
durian,2.42
turning,4.36
main,2.06
course,2.11
dessert,2.06
opening,3.11
late,2.57
night,1.45
differs,4.36
ranging,2.01
chewy,5.06
super,3.26
somewhere,5.06
middle,2.49
flaky,4.36
fluffy,5.06
difficult,3.96
part,1.5
pratamaking,5.06
stretching,4.36
behold,3.67
prataman,5.06
whirl,4.36
twirl,5.06
paper,2.86
thin,3.96
four,1.72
five,2.11
larger,3.26
folding,5.06
rectangle,5.06
cook,3.96
greased,5.06
griddle,5.06
recommended,3.11
way,1.16
dig,3.26
besides,1.34
treasure,2.11
trove,2.06
peranakan,1.88
culture,1.25
charming,1.62
architecture,1.45
enclave,2.11
joo,2.49
chiatkatong,3.26
regular,2.86
stomping,3.26
foodie,1.84
crave,3.96
homemade,2.86
artisanal,2.57
gelato,3.45
range,0.77
expand,2.35
horizon,2.98
eastmeetswest,4.36
experience,0.75
1925,4.36
brewing,3.96
co,3.11
curious,3.26
gettogether,5.06
dinner,2.28
drink,2.06
feel,2.06
pay,1.59
visit,0.67
instead,2.01
french,2.28
fry,2.86
burger,2.28
go,1.42
craft,2.17
beer,2.86
familyrun,3.45
pub,4.36
serf,1.39
teochewinspired,5.06
staple,2.11
smoked,3.45
eggplant,3.67
orh,4.36
nee,4.36
yam,3.96
prominent,2.98
dialect,3.67
group,2.35
teochews,5.06
known,1.12
characterised,5.06
delicate,3.96
fresh,1.97
making,1.5
great,1.07
place,0.75
eight,2.22
brew,2.86
proudly,2.86
lion,1.72
pick,1.45
alcohol,3.67
aficionado,2.86
take,0.56
step,1.62
world,0.63
261,4.36
chiat,2.49
road,0.48
427515,5.06
65,1.25
6909,4.36
1425,5.06
british,2.42
learn,1.47
bridge,1.59
ethnic,3.11
community,1.8
master,3.11
western,1.92
technique,2.66
colonial,2.22
era,2.57
able,1.53
familyowned,5.06
eatery,1.8
includes,2.06
truffle,2.98
english,3.11
pork,2.17
sausage,3.96
well,1.01
hainanesewestern,5.06
chop,3.67
oxtail,5.06
stew,3.26
interior,2.49
furniture,2.75
equally,2.98
vintage,2.49
memorabilia,3.45
retro,2.86
trinket,3.67
admire,2.28
75,3.67
carpmael,5.06
429812,5.06
6336,3.96
8122,5.06
mon,2.66
wedsun,4.36
11am5pm,3.96
610pm,2.75
trueblue,5.06
mr,3.26
mohgan,5.06
beloved,1.59
among,2.42
eastsider,3.96
three,1.37
decade,2.49
breakfast,2.35
consider,2.22
south,1.84
flatbread,2.86
dipped,4.36
light,1.53
crisp,4.36
observe,3.11
owner,2.86
establishment,1.27
work,1.37
kneading,5.06
firsttimers,5.06
recommend,1.97
ordering,2.98
kosong,5.06
better,2.49
appreciate,3.26
simplicity,5.06
rich,1.56
tin,3.96
yeung,5.06
300,3.11
427551,5.06
thusun,3.67
630am1pm,5.06
tue,3.11
6301130am,5.06
guan,2.98
hoe,3.96
soon,3.26
enrich,4.36
sens,2.86
authentic,2.11
restaurantthe,5.06
oldest,1.69
singaporeyour,4.36
pitstop,3.26
lunch,2.28
profile,4.36
medley,2.98
babi,4.36
pongteh,4.36
stewed,3.96
bean,2.35
sambal,2.49
udang,3.96
fun,1.62
fact,2.28
captain,3.45
actress,5.06
brie,5.06
larson,5.06
visited,3.67
february,2.86
2019,2.35
sung,5.06
praise,5.06
talk,2.98
superherosized,5.06
thumb,5.06
40,3.45
427764,5.06
6344,5.06
2761,5.06
daily,0.81
11am3pm,3.45
6930pm,3.96
boneless,3.96
iconic,1.11
dishit,5.06
hold,2.98
fond,5.06
memory,2.57
goto,2.86
rendition,2.98
generous,2.86
portion,2.66
sesame,3.26
oil,3.26
garlic,3.11
store,1.25
achar,5.06
pickled,3.96
whet,3.45
appetite,2.35
complimentary,3.96
visiting,1.66
suggest,2.75
trip,1.92
noon,5.06
30minutelong,5.06
wait,4.36
common,2.86
865,5.06
mountbatten,4.36
b18587,5.06
437844,5.06
treat,1.69
bird,2.06
paradise,2.01
boutique,1.66
tooth,2.66
botanicallyinspired,4.36
ice,2.35
cream,2.49
conventional,5.06
vanilla,3.11
unique,1.23
herb,2.66
popular,1.34
strawberry,3.26
basil,3.67
pistachio,4.36
takeaway,3.96
pint,3.67
available,1.62
enjoy,1.32
room,2.01
63,4.36
0105,3.96
428776,4.36
9678,4.36
6092,4.36
tuethu,3.11
sun,1.25
noon10pm,3.26
fri,1.92
sat,1.42
noon1030pm,4.36
dona,5.06
manis,5.06
shop,1.21
tradition,2.28
nostalgic,3.11
mother,2.98
baking,3.96
drop,1.45
hidden,2.28
gem,2.01
located,0.9
basement,3.45
bakery,2.98
resident,2.49
assortment,3.11
pastry,2.66
baked,2.86
six,2.28
morning,2.66
tart,3.26
signature,1.97
pie,2.98
star,1.72
attraction,1.37
arguably,3.96
banana,2.57
indulgent,4.36
almond,3.11
b193,5.06
6440,4.36
7688,5.06
thusat,5.06
930am5pm,5.06
930am4pm,5.06
plenty,2.57
within,1.62
little,1.25
bustling,1.84
find,0.77
everything,1.88
tapa,3.96
spanishstyle,5.06
appetiser,4.36
next,1.84
tantalise,3.45
bud,3.11
list,1.69
explore,1.25
diverse,1.56
regional,3.11
start,2.11
mustard,4.36
specialises,2.57
bengali,5.06
punjabi,5.06
eastern,2.22
northern,4.36
state,3.26
tends,4.36
distinctively,5.06
buttery,3.96
yet,2.75
subtle,4.36
musttries,5.06
chingri,5.06
maacher,5.06
malai,5.06
amritsari,5.06
machhi,5.06
deepfried,3.96
chickpea,5.06
batter,3.96
sample,1.88
north,2.01
naan,5.06
chapati,5.06
jaggi,5.06
pair,2.86
gravy,2.86
tip,2.75
dine,2.57
bit,3.45
decide,3.96
apolo,5.06
region,1.92
patron,3.67
savour,3.11
musttry,3.67
famed,3.26
head,1.12
masala,3.45
yoghurtbased,5.06
tandoori,5.06
catering,3.67
chain,2.86
komala,5.06
vila,5.06
another,2.17
hot,2.35
serangoon,3.96
outlet,2.28
prime,3.26
minister,3.67
narendra,5.06
modi,5.06
2015,2.86
dosai,5.06
lentil,5.06
crepe,5.06
vadai,4.36
nearby,2.98
82,3.96
khansama,5.06
al,3.45
fresco,3.67
balmy,5.06
evening,2.57
top,1.8
yoghurt,3.96
twostorey,3.45
airconditioned,5.06
section,3.45
cooling,4.36
respite,4.36
heat,3.45
hunt,2.57
vegetarian,2.86
gokul,5.06
thai,3.11
nearly,3.45
hundred,3.26
option,1.25
including,1.03
starter,3.67
samosa,5.06
palak,5.06
paneer,5.06
cottage,4.36
cube,4.36
32,3.96
race,3.67
218552,5.06
6297,3.96
8422,5.06
monfri,1.88
1130am3pm,2.86
61045pm,5.06
1130am4pm,4.36
3739,5.06
chander,5.06
219541,5.06
6296,5.06
6141,4.36
5301030pm,3.96
11am1030pm,4.36
54,5.06
218564,5.06
6293,5.06
8682,5.06
1030am1030pm,3.96
7678,5.06
217981,5.06
6980,5.06
7am1030pm,5.06
166,5.06
218050,5.06
6299,5.06
0300,5.06
